ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PL-0012","10","De medidas urgentes para la agilización administrativa y la planificación, gestión y control de los fondos procedentes del instrumento europeo de recuperación denominado «next generation eu», en el ámbito de la comunidad autónoma de canarias y por el que se establecen medidas tributarias en el impuesto general indirecto canario para la lucha contra la covid-19 (procedente del decreto ley 4/2021, de 31 de marzo).","2021-04-27","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0013","10","De medidas extraordinarias para garantizar la continuidad de la gestión del servicio público de televisión autonómica y de sus programas informativos hasta la aprobación del mandato marco por el parlamento de canarias (procedente del decreto ley 8/2021, de 28 de junio).","2021-07-27","En tramitación","Urgencia","","PROYECTOS DE LEY"
"10L/PL-0014","10","Por la que se establece el régimen jurídico de alerta sanitaria y las medidas para el control y gestión de la pandemia de covid-19 en canarias (procedente del decreto ley 11/2021, de 2 de septiembre).","2021-09-28","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0016","10","De presupuestos generales de la comunidad autónoma de canarias para 2022.","2021-10-29","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0015","10","De economía social de canarias.","2021-10-11","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0017","10","De sociedades cooperativas de canarias.","2021-11-02","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0018","10","De cambio climático y transición energética de canarias.","2021-11-12","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
