ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLC-0101","10","Elaboración de un estudio de viabilidad para la rehabilitación y reparación de la presa situada en el barranco de el río, en arico.","2023-03-09","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0100","10","Cumplimiento de compromisos de adecuación salarial del cuerpo de letrados de la administración de justicia.","2023-01-24","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0102","10","Formalización de la cesión de uso de las instalaciones de la cofradía de pescadores de san miguel de tajao, y dotación de una partida presupuestaria para mejora de las infraestructuras.","2023-03-13","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
