ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLP-0239","10","Vivienda digna y juventud.","2021-01-11","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0240","10","Turismo del todo incluido.","2021-01-11","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0241","10","Juego y casas de apuestas.","2021-01-11","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0258","10","Modificaciones de la política agraria común durante el periodo 2021-2022.","2021-02-03","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0278","10","Plan nacional de impulso del hidrógeno.","2021-03-02","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0259","10","Apertura de líneas de ayudas al sector de los camelleros, afectados por las limitaciones de la actividad turística como consecuencia de la covid-19.","2021-02-05","Cerrada","Ordinario","Cambio calificación","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0307","10","Acuerdo de pesca entre el reino de españa y la república portuguesa para el ejercicio de la actividad de la flota de pesca artesanal de canarias y madeira.","2021-04-20","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0279","10","Firma de convenio entre el servicio canario de la salud y aena.","2021-03-02","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0283","10","Medidas para la reactivación del deporte y la actividad física en canarias.","2021-03-10","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0284","10","Para asegurar una atención adecuada y garantizar los derechos de las personas con problemas de salud mental.","2021-03-10","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0274","10","Garantía a los ayuntamientos y cabildos de los fondos correspondientes a los ejercicios 2020-2021 del fondo de desarrollo de canarias (fdcan).","2021-03-01","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0275","10","Ampliación de la suspensión de las reglas fiscales durante el año 2022.","2021-02-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0242","10","El aumento del plazo de justificación de las ayudas destinadas al sector primario del programa de desarrollo rural de canarias como consecuencia de la pandemia y el estado de alarma.","2021-01-14","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0281","10","Defensa de la pesquería del atún para la flota artesanal canaria y la prohibición del arte del cerco.","2021-03-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0286","10","El ingreso mínimo vital.","2021-03-17","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0269","10","Reconocimiento de la capacidad de gestión de las entidades locales y aumento del porcentaje de los fondos europeos de recuperación asignados a los ayuntamientos y cabildos insulares.","2021-02-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0270","10","El plátano de canarias, aplicación de la ley 12/2013, de 2 de agosto, de medidas para mejorar el funcionamiento de la cadena alimentaria, y su tratamiento particular como producción agrícola de una región ultraperiférica.","2021-02-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0271","10","La defensa de la ciencia en canarias.","2021-02-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0276","10","Patrimonio cultural.","2021-03-02","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
