ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PL-0007","10","De modificación de la ley 13/2014, de 26 de diciembre, de radio y televisión públicas de la comunidad autónoma de canarias (procedente del decreto ley 11/2020, de 19 de junio).","2020-07-14","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0004","10","De suspensión de títulos habilitantes de nuevos locales y otras medidas complementarias en materia de juego y apuestas (procedente del decreto ley 5/2020, de 2 de abril).","2020-04-29","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0005","10","De medidas extraordinarias de carácter económico, financieras, fiscal y administrativas para afrontar la crisis provocada por el covid-19 (procedente del decreto ley 4/2020, de 2 de abril).","2020-04-29","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0006","10","De medidas urgentes de carácter social dirigidas a las personas en situación de vulnerabilidad como consecuencia de la crisis sanitaria ocasionada por el covid-19 (procedente del decreto ley 6/2020, de 17 de abril).","2020-05-19","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0003","10","De medidas urgentes, por el que se regula la ayuda para la adquisición de medicamentos financiados por el sistema nacional de salud a las personas que ostenten la condición de pensionistas de la seguridad social y sus beneficiarios cuya renta anual sea inferior a 18.000 euros (procedente del decreto ley 1/2020, de 16 de enero).","2020-02-11","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0009","10","Por el que se establece el régimen sancionador por incumplimiento de las medidas de prevención y contención frente al covid-19 en la comunidad autónoma de canarias (procedente del decreto ley 14/2020, de 4 de septiembre).","2020-09-29","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0010","10","De medidas urgentes de impulso de los sectores primario, energético, turístico y territorial de canarias (procedente del decreto ley 15/2020, de 10 de septiembre).","2020-10-07","En tramitación","Urgencia","","PROYECTOS DE LEY"
"10L/PL-0011","10","De presupuestos generales de la comunidad autónoma de canarias para 2021.","2020-11-06","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0008","10","Sobre régimen excepcional del fondo canario de financiación municipal para 2020 y de fomento de la participación ciudadana (procedente del decreto ley 12/2020, de 30 de julio).","2020-08-19","Cerrada","Lectura Única","Aprobado","PROYECTOS DE LEY"
