ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PL-0019","10","De la renta de ciudadanía de canarias.","2022-02-11","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0020","10","Por el que se modifica la ley 4/2017, de 13 de julio, del suelo y de los espacios naturales protegidos de canarias, concretamente, la disposición adicional vigesimotercera relativa a la legalización territorial de las explotaciones ganaderas, los artículos 177.1 y 180.3 y se incorpora una disposición transitoria vigesimoquinta, relativos a los planes de ordenación de los recursos naturales, así como se modifica la disposición adicional segunda del decreto 181/2018, de 26 de diciembre, por el que se aprueba el reglamento de planeamiento de canarias, el artículo 24.1 de la ley 7/2014, de 30 de junio, de la agencia tributaria canaria, y se incorpora una disposición adicional novena a la ley 6/2006, de 17 de julio, del patrimonio de la comunidad autónoma de canarias (procedente del decreto ley 7/2022, de 26 de mayo).","2022-06-21","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
"10L/PL-0022","10","De la presidencia y del gobierno de canarias.","2022-08-05","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0021","10","De políticas de juventud de canarias.","2022-08-01","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0023","10","De presupuestos generales de la comunidad autónoma de canarias para 2023.","2022-10-31","Cerrada","Urgencia","Aprobado","PROYECTOS DE LEY"
