ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PPL-0008","10","Del sistema público de cultura de canarias.","2022-04-26","Cerrada","Ordinario","Aprobada","PROPOSICIONES DE LEY"
"10L/PPL-0010","10","De modificación de la ley 5/1986, de 28 de julio, del impuesto especial de la comunidad autónoma de canarias sobre combustibles derivados del petróleo.","2022-06-23","Cerrada","Urgencia","Rechazada","PROPOSICIONES DE LEY"
"10L/PPL-0009","10","De universidades populares de canarias.","2022-05-24","En tramitación","Ordinario","","PROPOSICIONES DE LEY"
"10L/PPL-0011","10","De ampliación de los límites de la reserva natural especial del malpaís de rasca.","2022-12-07","Cerrada","Ordinario","","PROPOSICIONES DE LEY"
"10L/PPL-0012","10","De medidas fiscales de compensación a la población de las islas de la gomera, el hierro y la palma.","2022-12-07","Cerrada","Ordinario","","PROPOSICIONES DE LEY"
