ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLP-0080","10","Apoyo a los órganos constitucionales e instar al actual gobierno de españa a no realizar concesiones a los grupos independentistas.","2020-01-13","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0081","10","Apoyo a los órganos constitucionales y para instar al actual gobierno de españa a no realizar concesiones a los grupos independentistas.","2020-01-14","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0083","10","Medidas de apoyo a los autónomos.","2020-01-23","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0082","10","El veto parental.","2020-01-21","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0105","10","Orientación y asistencia jurídica a internos de centros penitenciarios y centros de inserción social.","2020-02-27","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0088","10","Aprobación del protocolo para la alimentación con leche materna en las escuelas infantiles.","2020-01-28","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0099","10","El fomento a la producción y consumo de papa del país.","2020-02-19","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0149","10","La reactivación del sector de ocio nocturno.","2020-06-24","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0158","10","La modificación o derogación del decreto 202/1997, de 7 de agosto, por el que se aprueba el reglamento de precedencias en el ámbito de la comunidad autónoma de canarias.","2020-07-03","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0090","10","Culminación del catálogo de servicios y prestaciones para la atención e intervención social y contratación de trabajadores en los servicios sociales municipales.","2020-02-06","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
