ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PL-0024","10","De modificación de la ley 8/2010, de 15 de julio, de los juegos y apuestas.","2023-01-20","En tramitación","Ordinario","","PROYECTOS DE LEY"
"10L/PL-0025","10","De creación del colegio profesional de la pedagogía y de la psicopedagogía de las palmas.","2023-03-17","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
"10L/PL-0026","10","De creación del colegio profesional de la pedagogía y de la psicopedagogía de santa cruz de tenerife.","2023-03-17","Cerrada","Ordinario","Aprobado","PROYECTOS DE LEY"
