ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLC-0032","10","Partida especial para financiar los sobrecostes de los servicios de limpieza y desinfección de centros de educación infantil y de primaria.","2020-07-06","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0018","10","Extensión en la aplicación del 75% de bonificación al transporte.","2020-03-04","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0019","10","Campaña sobre residuos como consecuencia de la pandemia covid-19.","2020-05-21","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0020","10","Plan de choque para la educación universitaria.","2020-05-21","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0021","10","Modificación del decreto 32/2020, de 2 de abril.","2020-05-21","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0022","10","Medidas para facilitar el trámite de alta de bodegas vinícolas e impulsar el sector ante la pérdida de ventas por la covid-19.","2020-05-21","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0015","10","Concesión directa de subvenciones destinadas a la promoción del empleo autónomo que incorpora al colectivo de mayores de 45 años.","2020-02-14","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0016","10","Creación de incentivos a la empleabilidad de mayores de 45 años.","2020-02-14","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0025","10","Medidas para la prevención y protección de los trabajadores de la radiotelevisión canaria frente al coronavirus.","2020-06-08","Cerrada","Ordinario","Cambio calificación","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0026","10","Estrategia regional de prevención de incendios forestales.","2020-06-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0027","10","Medidas de apoyo al sector de campamentos y campus de verano.","2020-06-09","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0030","10","El desarrollo del sector primario como actividad estratégica económica, social y medioambiental.","2020-07-01","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0028","10","Política industrial en canarias.","2020-06-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0023","10","Apoyo al sector de flor cortada, planta ornamental y esquejes.","2020-05-25","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0024","10","El proyecto de decreto para la declaración de zonas de especial protección para las aves zepa en la nuevas áreas de gran canaria y fuerteventura.","2020-05-25","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0031","10","La inclusión de la plataforma oceánica de canarias (plocan) en la nueva estrategia española de ciencia, tecnología y de innovación 2021-2028 como infraestructura necesaria para alcanzar los objetivos propuestos.","2020-07-02","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0029","10","Ciclo superior en ganadería y asistencia en sanidad animal.","2020-07-01","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0017","10","Apoyo a las organizaciones agrarias canarias en sus reivindicaciones por la pérdida de rentabilidad y competitividad del campo.","2020-02-20","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0036","10","Medidas para aumentar y dignificar la actividad socioeconómica del pastoreo.","2020-09-09","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0040","10","El cultivo de variedades tradicionales de las islas de lanzarote y fuerteventura.","2020-10-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0037","10","El impulso del plan canario para el abordaje de la hepatitis c.","2020-09-09","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0041","10","Medidas para la protección y defensa de los derechos de personas con discapacidad y necesidades urgentes de los servicios de atención a la discapacidad de canarias ante la pandemia del covid-19. ","2020-10-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0042","10","Catálogos municipales de bienes patrimoniales culturales accesibles a través de una única base de datos.","2020-10-13","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0039","10","Creación de incentivos a la empleabilidad de mayores de 45 años.","2020-09-29","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0044","10","La comisión de seguimiento del rea.","2020-11-06","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0033","10","Medidas de apoyo a las exportaciones del sector agroalimentario canario a estados unidos.","2020-09-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0034","10","Formación continuada de los profesionales sanitarios y su sostenibilidad económica.","2020-09-08","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0035","10","Participación de las asociaciones de pacientes en el sistema nacional de salud y a la sostenibilidad económica de sus actividades.","2020-09-08","Cerrada","Ordinario","Cambio calificación","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0043","10","La recuperación de la frecuencia extra de los miércoles y la disponibilidad de guaguas de la línea regular de cabotaje marítimo interinsular entre tenerife y el hierro. ","2020-11-04","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0038","10","La extensión y flexibilización de los créditos ico para pymes y autónomos afectados por la crisis sanitaria de la pandemia de covid-19.","2020-09-25","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0045","10","Servicio de recogida de materiales fibrocemento en las explotaciones agrícolas y ganaderas.","2020-11-11","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0046","10","Acceso de otros cuerpos al cuerpo general de la policía canaria.","2020-11-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0047","10","La retirada de las redes de distribución de agua en desuso y residuos existentes, en la zona del valle de el golfo, la frontera.","2020-11-30","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0048","10","Incorporación de las farmacias canarias al desarrollo urgente de una estrategia de salud pública.","2020-12-02","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
