ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLC-0089","10","Modificación urgente del rea y ayudas a los ganaderos de canarias.","2022-03-11","Cerrada","Ordinario","Cambio calificación","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0088","10","Campaña informativa y publicitaria en defensa de los servicios públicos de canarias.","2022-01-18","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0090","10","El tiro deportivo en canarias.","2022-04-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0091","10","Activación inmediata de medidas que eviten la destrucción y desaparición del sector ganadero.","2022-04-18","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0092","10","Acceso a reproducción humana asistida a individuos con amiloidosis hereditaria por transtiterina.","2022-04-27","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0094","10","Etiquetado de los aceites de oliva.","2022-05-27","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0093","10","Finalización de la obra de cubierta y mejora tecnológica de la balsa de el golfo, e implantación de desaladora portátil en el valle de el golfo.","2022-05-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0095","10","Reducción de la siniestralidad laboral en el sector agrícola.","2022-06-21","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0096","10","Puesta en marcha de un punto de atención continuada en el consultorio de mala y dotación de un profesional de enfermería para la actual ambulancia de soporte vital básico con base en arrieta.","2022-06-24","Cerrada","Ordinario","Cambio calificación","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0098","10","Acuerdo con el consulado general de la república bolivariana de venezuela para el desplazamiento periódico del consulado itinerante a el hierro.","2022-11-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0099","10","Creación del consejo canario del pueblo gitano y elaboración de un plan de acción específico para la población gitana.","2022-11-28","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0097","10","El reconocimiento a canarias del estatus de plena autonomía interna para la delimitación de los espacios marítimos.","2022-11-18","Cerrada","Urgencia","Rechazada","PROPOSICIONES NO DE LEY EN COMISIÓN"
