ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PPL-0005","10","De bienestar y protección animal.","2021-02-11","En tramitación","Ordinario","","PROPOSICIONES DE LEY"
"10L/PPL-0004","10","De modificación de la ley 8/2015, de 1 de abril, de cabildos insulares.","2021-01-27","Cerrada","Ordinario","Aprobada","PROPOSICIONES DE LEY"
"10L/PPL-0007","10","De accesibilidad universal de canarias.","2021-12-10","En tramitación","Ordinario","","PROPOSICIONES DE LEY"
"10L/PPL-0006","10","De elecciones al parlamento de canarias.","2021-11-18","Cerrada","Ordinario","Aprobado","PROPOSICIONES DE LEY"
