ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLP-0557","10","Devolución y eliminación del impuesto especial de la comunidad autónoma canaria sobre combustibles derivados del petróleo durante el año 2023.","2023-01-11","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0558","10","Los tratamientos de adrenalina a través de autoinyectores.","2023-01-12","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0574","10","Investigación para esclarecer y depurar todas las responsabilidades, incluidas las políticas, del alcance del conocido como caso mediador.","2023-02-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0575","10","Trazado del cable de alta tensión a su paso por zonas urbanas de carrizal.","2023-02-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0576","10","La inclusión de material ortoprotésico en el catálogo de tipos de productos ortoprotésicos de la comunidad autónoma de canarias.","2023-02-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0579","10","Adopción de soluciones efectivas para paliar la escasez de agua de riego en todas las islas, y rehabilitación y reparación de la presa del barranco de el río, en arico.","2023-03-09","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0572","10","Oposición a la privatización de las torres de control de los aeropuertos de gran canaria, tenerife norte y sur.","2023-02-20","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0573","10","Trazado del cable de alta tensión a su paso por zonas urbanas de carrizal.","2023-02-23","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0565","10","Apicultura en canarias.","2023-01-31","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0566","10","Cambios normativos para impulso de la vigilancia, mejora de las condiciones laborales y reconocimiento de las enfermedades laborales propias, en el sector turístico y hotelero.","2023-01-31","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0567","10","Procesos de funcionarización del personal laboral fijo que desempeñe funciones propias de personal funcionario.","2023-01-31","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0568","10","La medalla al mérito en la justicia en canarias con distintivo de oro.","2023-02-01","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0569","10","El proyecto dreamland-ciudad cinematográfica de fuerteventura.","2023-02-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0570","10","Renovación y remodelación del edificio de traumatología y rehabilitación situado en el hospital universitario nuestra señora de candelaria.","2023-02-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0580","10","Medidas de ayuda para los pacientes con enfermedad celiaca.","2023-03-15","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0583","10","El complemento de indemnización por residencia que perciben los funcionarios que conforman los distintos cuerpos de instituciones penitenciarias.","2023-03-20","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0564","10","Propuesta de concesión al ilustre colegio de abogados de santa cruz de la palma de la medalla al mérito en la justicia en canarias con distintivo de oro.","2023-01-20","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
